Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,log_Global_Sales,Platform_encoded,Genre_encoded,Publisher_encoded
Dragon Ball Z: Burst Limit,PS3,2008,Fighting,Atari,0.22,0.33,0.18,0.12,0.85,71.0,32.0,7.2,51.0,0.6151856390902334,17,2,53
Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft,0.69,0.1,0.0,0.06,0.85,,,,,0.6151856390902334,26,10,528
Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,0.28,0.31,0.13,0.13,0.85,82.0,50.0,8.2,193.0,0.6151856390902334,17,2,349
Ninja Gaiden Sigma 2,PS3,2009,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.85,83.0,52.0,7.7,115.0,0.6151856390902334,17,0,529
Ratatouille,PS2,2007,Action,THQ,0.31,0.0,0.0,0.53,0.85,65.0,9.0,8.0,11.0,0.6151856390902334,16,0,491
NFL GameDay,PS,1995,Sports,Sony Computer Entertainment,0.47,0.32,0.0,0.06,0.85,,,,,0.6151856390902334,15,10,458
Burnout 2: Point of Impact,PS2,2002,Racing,Acclaim Entertainment,0.42,0.32,0.0,0.11,0.85,86.0,31.0,8.2,48.0,0.6151856390902334,16,6,17
Wii Fit U,WiiU,2013,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85,72.0,19.0,7.7,72.0,0.6151856390902334,27,10,361
Street Fighter EX3,PS2,2000,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85,64.0,17.0,7.9,31.0,0.6151856390902334,16,2,545
The Legendary Starfy,DS,2008,Platform,Nintendo,0.6,0.0,0.2,0.05,0.85,75.0,25.0,8.4,26.0,0.6151856390902334,4,4,361
NCAA Football 11,PS3,2010,Sports,Electronic Arts,0.79,0.0,0.0,0.06,0.85,85.0,22.0,7.4,25.0,0.6151856390902334,17,10,139
The House of the Dead: Overkill,Wii,2009,Shooter,Sega,0.44,0.3,0.02,0.09,0.85,78.0,65.0,8.7,95.0,0.6151856390902334,26,8,448
Army of Two: The 40th Day,PS3,2010,Shooter,Electronic Arts,0.44,0.27,0.01,0.12,0.85,74.0,56.0,7.0,88.0,0.6151856390902334,17,8,139
Darksiders II,PS3,2012,Action,THQ,0.35,0.35,0.01,0.14,0.84,84.0,39.0,7.1,422.0,0.6097655716208943,17,0,491
Spider-Man 2,GC,2004,Action,Activision,0.65,0.17,0.0,0.02,0.84,80.0,41.0,8.8,30.0,0.6097655716208943,7,0,21
The Lord of the Rings: War in the North,X360,2007,Action,Warner Bros. Interactive Entertainment,0.52,0.24,0.0,0.08,0.84,61.0,48.0,7.4,113.0,0.6097655716208943,28,0,552
 Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,71.0,59.0,7.9,216.0,0.6097655716208943,17,7,349
Ghostbusters: The Video Game,PS3,2009,Action,Sony Computer Entertainment,0.34,0.36,0.0,0.14,0.84,78.0,74.0,7.9,96.0,0.6097655716208943,17,0,458
The Incredibles,GC,2004,Action,THQ,0.65,0.17,0.0,0.02,0.84,63.0,27.0,7.1,7.0,0.6097655716208943,7,0,491
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84,84.0,87.0,8.9,1548.0,0.6097655716208943,27,7,361
NBA 2K10,PS3,2009,Sports,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84,83.0,30.0,7.8,39.0,0.6097655716208943,17,10,497
Petz Dogz Fashion,DS,2008,Simulation,Ubisoft,0.46,0.3,0.0,0.09,0.84,,,,,0.6097655716208943,4,9,528
ATV Quad Power Racing 2,PS2,2003,Racing,Acclaim Entertainment,0.41,0.32,0.0,0.11,0.84,68.0,19.0,,,0.6097655716208943,16,6,17
Final Fantasy,NES,1987,Role-Playing,SquareSoft,0.32,0.0,0.52,0.0,0.84,,,,,0.6097655716208943,11,7,469
Skate 2,PS3,2009,Sports,Electronic Arts,0.46,0.25,0.01,0.12,0.84,84.0,50.0,7.8,53.0,0.6097655716208943,17,10,139
Rocket Power: Team Rocket Rescue,PS,2001,Sports,THQ,0.47,0.32,0.0,0.05,0.84,,,,,0.6097655716208943,15,10,491
Big Mutha Truckers,PS2,2002,Racing,Empire Interactive,0.41,0.32,0.0,0.11,0.84,62.0,15.0,5.3,20.0,0.6097655716208943,16,6,143
The Evil Within,PS3,2014,Action,Bethesda Softworks,0.26,0.34,0.13,0.12,0.84,,,7.6,193.0,0.6097655716208943,17,0,66
Rogue Galaxy,PS2,2005,Role-Playing,Sony Computer Entertainment,0.24,0.16,0.39,0.05,0.84,83.0,59.0,8.4,89.0,0.6097655716208943,16,7,458
ESPN College Hoops 2K5,PS2,2004,Sports,Sega,0.41,0.32,0.0,0.11,0.84,86.0,14.0,8.1,10.0,0.6097655716208943,16,10,448
NCAA Football 14,PS3,2013,Sports,Electronic Arts,0.75,0.0,0.0,0.09,0.84,77.0,9.0,6.2,40.0,0.6097655716208943,17,10,139
Harry Potter and the Order of the Phoenix,DS,2007,Action,Electronic Arts,0.28,0.46,0.0,0.1,0.84,51.0,15.0,4.9,19.0,0.6097655716208943,4,0,139
Sniper Elite V2,X360,2012,Shooter,505 Games,0.46,0.28,0.02,0.07,0.84,67.0,37.0,6.8,131.0,0.6097655716208943,28,8,6
Metroid: Zero Mission,GBA,2004,Adventure,Nintendo,0.6,0.22,0.0,0.01,0.84,89.0,50.0,9.0,132.0,0.6097655716208943,6,1,361
Ben 10: Protector of Earth,PS2,2007,Action,D3Publisher,0.09,0.0,0.0,0.74,0.84,,,7.6,14.0,0.6097655716208943,16,0,110
Burnout Legends,PSP,2005,Racing,Electronic Arts,0.7,0.05,0.0,0.08,0.84,86.0,53.0,8.4,108.0,0.6097655716208943,19,6,139
Q*bert,PS,1999,Puzzle,Atari,0.46,0.32,0.0,0.05,0.84,,,,,0.6097655716208943,15,5,53
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,0.74,0.04,0.0,0.06,0.83,57.0,11.0,6.7,28.0,0.6043159668533294,26,9,528
Madden NFL 09 All-Play,Wii,2008,Sports,Electronic Arts,0.76,0.01,0.0,0.06,0.83,82.0,19.0,7.2,22.0,0.6043159668533294,26,10,139
Ace Combat 3: Electrosphere,PS,1999,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83,,,,,0.6043159668533294,15,9,458
Dynasty Warriors 2,PS2,2000,Action,THQ,0.24,0.19,0.34,0.06,0.83,75.0,17.0,8.8,24.0,0.6043159668533294,16,0,491
Madden NFL 07,PSP,2007,Sports,Unknown,0.77,0.03,0.0,0.04,0.83,78.0,18.0,6.6,16.0,0.6043159668533294,19,10,533
Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.14,0.83,60.0,52.0,7.4,21.0,0.6043159668533294,17,8,349
Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,0.52,0.25,0.0,0.07,0.83,49.0,76.0,4.4,456.0,0.6043159668533294,28,8,497
Lizzie McGuire 2: Lizzie Diaries,GBA,2004,Action,Disney Interactive Studios,0.6,0.22,0.0,0.01,0.83,57.0,6.0,5.0,5.0,0.6043159668533294,6,0,127
FIFA Soccer World Championship,PS2,2000,Sports,Electronic Arts,0.27,0.21,0.28,0.07,0.83,,,,,0.6043159668533294,16,10,139
NCAA Football 12,PS3,2011,Sports,Electronic Arts,0.78,0.0,0.0,0.05,0.83,82.0,17.0,5.8,41.0,0.6043159668533294,17,10,139
Brute Force,XB,2003,Shooter,Microsoft Game Studios,0.62,0.18,0.01,0.03,0.83,77.0,45.0,7.8,49.0,0.6043159668533294,29,8,325
Tiger Woods PGA Tour 11,PS3,2010,Sports,Electronic Arts,0.37,0.33,0.0,0.13,0.83,78.0,40.0,6.7,17.0,0.6043159668533294,17,10,139
Yu-Gi-Oh! Dark Duel Stories,GB,2000,Misc,Konami Digital Entertainment,0.0,0.0,0.83,0.0,0.83,,,,,0.6043159668533294,5,3,277
WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,THQ,0.44,0.31,0.0,0.08,0.83,79.0,18.0,8.5,18.0,0.6043159668533294,26,2,491
The Game of Life,PS,1998,Misc,Unknown,0.46,0.31,0.0,0.05,0.83,,,,,0.6043159668533294,15,3,533
Mega Man Legends,PS,1997,Adventure,Capcom,0.39,0.26,0.12,0.05,0.83,,,,,0.6043159668533294,15,1,85
Sly 3: Honor Among Thieves,PS2,2005,Platform,Sony Computer Entertainment,0.69,0.03,0.0,0.11,0.83,83.0,59.0,8.8,130.0,0.6043159668533294,16,4,458
MLB SlugFest 20-03,PS2,2007,Sports,Unknown,0.41,0.32,0.0,0.11,0.83,77.0,25.0,8.2,6.0,0.6043159668533294,16,10,533
Need for Speed: Nitro,Wii,2009,Racing,Electronic Arts,0.45,0.3,0.0,0.08,0.83,69.0,41.0,7.4,38.0,0.6043159668533294,26,6,139
Street Fighter X Tekken,PS3,2012,Fighting,Capcom,0.42,0.21,0.1,0.09,0.83,84.0,51.0,5.3,191.0,0.6043159668533294,17,2,85
MediEvil,PS,1998,Platform,Sony Computer Entertainment,0.46,0.31,0.0,0.05,0.83,,,,,0.6043159668533294,15,4,458
Casper,PS,1996,Adventure,Interplay,0.46,0.31,0.0,0.05,0.83,,,,,0.6043159668533294,15,1,248
Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,0.58,0.17,0.0,0.07,0.83,84.0,55.0,7.8,171.0,0.6043159668533294,28,11,497
Tales of the Abyss,3DS,2011,Role-Playing,Namco Bandai Games,0.43,0.19,0.14,0.06,0.83,75.0,33.0,7.6,197.0,0.6043159668533294,2,7,349
Dragon Age II,PS3,2011,Action,Electronic Arts,0.4,0.26,0.05,0.11,0.83,82.0,52.0,4.3,1197.0,0.6043159668533294,17,0,139
Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.55,0.2,0.0,0.08,0.82,70.0,16.0,1.8,442.0,0.598836501088704,26,8,21
God of War Saga,PS3,2012,Action,Sony Computer Entertainment,0.73,0.0,0.0,0.1,0.82,,,8.3,52.0,0.598836501088704,17,0,458
Scooby-Doo! First Frights,DS,2009,Action,Warner Bros. Interactive Entertainment,0.6,0.16,0.0,0.07,0.82,,,,,0.598836501088704,4,0,552
James Bond 007: Nightfire,XB,2002,Shooter,Electronic Arts,0.58,0.22,0.0,0.03,0.82,78.0,30.0,7.8,25.0,0.598836501088704,29,8,139
Tony Hawk's Pro Skater 3,GC,2001,Sports,Activision,0.64,0.17,0.0,0.02,0.82,91.0,27.0,9.0,27.0,0.598836501088704,7,10,21
Marvel: Ultimate Alliance,PS2,2006,Role-Playing,Activision,0.69,0.03,0.0,0.11,0.82,81.0,29.0,8.2,33.0,0.598836501088704,16,7,21
DJ Hero 2,X360,2010,Misc,Activision,0.64,0.12,0.0,0.06,0.82,86.0,66.0,7.9,23.0,0.598836501088704,28,3,21
Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,Rising Star Games,0.67,0.03,0.06,0.05,0.82,65.0,18.0,8.2,28.0,0.598836501088704,26,9,432
Tony Hawk's Underground 2 Remix,PSP,2005,Sports,Activision,0.46,0.21,0.0,0.15,0.82,83.0,49.0,8.0,34.0,0.598836501088704,19,10,21
Need for Speed: Hot Pursuit 2,XB,2002,Racing,Electronic Arts,0.68,0.11,0.0,0.03,0.82,75.0,18.0,6.4,15.0,0.598836501088704,29,6,139
Killer Instinct Gold,N64,1996,Fighting,Nintendo,0.61,0.19,0.0,0.01,0.82,,,,,0.598836501088704,10,2,361
Clu Clu Land,NES,1984,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82,,,,,0.598836501088704,11,5,361
Karaoke Revolution Glee,Wii,2010,Misc,Konami Digital Entertainment,0.51,0.24,0.0,0.07,0.82,,,,,0.598836501088704,26,3,277
I Spy: Fun House,DS,2007,Puzzle,Scholastic Inc.,0.76,0.0,0.0,0.06,0.82,53.0,6.0,,,0.598836501088704,4,5,445
Amped: Freestyle Snowboarding,XB,2001,Sports,Microsoft Game Studios,0.69,0.11,0.0,0.02,0.82,78.0,30.0,9.0,20.0,0.598836501088704,29,10,325
The Price is Right,Wii,2008,Misc,Ubisoft,0.76,0.0,0.0,0.06,0.82,,,4.3,9.0,0.598836501088704,26,3,528
Custer's Revenge,2600,1981,Action,Mystique,0.76,0.05,0.0,0.01,0.82,,,,,0.598836501088704,0,0,343
Stranglehold,X360,2007,Shooter,Midway Games,0.4,0.33,0.01,0.09,0.82,77.0,59.0,7.6,91.0,0.598836501088704,28,8,327
Rocket Power: Beach Bandits,PS2,2002,Platform,THQ,0.4,0.31,0.0,0.1,0.82,,,6.6,13.0,0.598836501088704,16,4,491
Shin Megami Tensei: Persona 4,PS2,2008,Role-Playing,Atlus,0.34,0.04,0.36,0.08,0.82,90.0,47.0,8.9,634.0,0.598836501088704,16,7,55
Devil May Cry HD Collection,PS3,2012,Action,Capcom,0.42,0.19,0.11,0.09,0.82,74.0,27.0,8.8,158.0,0.598836501088704,17,0,85
Thief (2014),PS4,2014,Action,Square Enix,0.28,0.38,0.03,0.13,0.82,,,,,0.598836501088704,18,0,467
The Lord of the Rings: War in the North,PS3,2007,Action,Warner Bros. Interactive Entertainment,0.25,0.42,0.01,0.13,0.82,63.0,33.0,7.0,100.0,0.598836501088704,17,0,552
Dragon Warrior III,GB,2000,Role-Playing,Enix Corporation,0.0,0.0,0.81,0.0,0.81,,,,,0.5933268452777344,5,7,145
Ready 2 Rumble Boxing: Round 2,PS2,2000,Fighting,Midway Games,0.4,0.31,0.0,0.1,0.81,75.0,20.0,,,0.5933268452777344,16,2,327
Dance Central 3,X360,2012,Misc,Microsoft Game Studios,0.57,0.18,0.0,0.06,0.81,86.0,43.0,8.0,45.0,0.5933268452777344,28,3,325
Kamaitachi no Yoru,SNES,1994,Adventure,ChunSoft,0.0,0.0,0.81,0.0,0.81,,,,,0.5933268452777344,23,1,87
Imagine: Rock Star,DS,2008,Simulation,Ubisoft,0.4,0.33,0.0,0.09,0.81,,,,,0.5933268452777344,4,9,528
Tales of Destiny II,PS,2000,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81,78.0,9.0,8.7,31.0,0.5933268452777344,15,7,349
Super Bomberman 2,SNES,1994,Puzzle,Hudson Soft,0.0,0.0,0.81,0.0,0.81,,,,,0.5933268452777344,23,5,227
NASCAR 2001,PS,2000,Racing,Electronic Arts,0.45,0.31,0.0,0.05,0.81,73.0,8.0,6.1,9.0,0.5933268452777344,15,6,139
Twisted Metal (2012),PS3,2012,Action,Sony Computer Entertainment,0.67,0.07,0.0,0.08,0.81,,,,,0.5933268452777344,17,0,458
The Legend of Zelda: Four Swords Adventures,GC,2004,Action,Nintendo,0.63,0.16,0.0,0.02,0.81,86.0,55.0,7.2,74.0,0.5933268452777344,7,0,361
Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,PS,1999,Sports,Konami Digital Entertainment,0.0,0.0,0.76,0.05,0.81,,,,,0.5933268452777344,15,10,277
MediEvil: Resurrection,PSP,2005,Adventure,Sony Computer Entertainment,0.19,0.41,0.0,0.22,0.81,66.0,43.0,8.7,52.0,0.5933268452777344,19,1,458
Valkyrie Profile,PS,1999,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81,81.0,8.0,8.8,37.0,0.5933268452777344,15,7,145
Shaun White Snowboarding,X360,2007,Sports,Ubisoft,0.48,0.25,0.0,0.08,0.81,60.0,48.0,7.6,25.0,0.5933268452777344,28,10,528
Patapon,PSP,2007,Misc,Sony Computer Entertainment,0.33,0.25,0.07,0.16,0.81,86.0,60.0,8.7,102.0,0.5933268452777344,19,3,458
Final Fantasy Type-0,PSP,2011,Role-Playing,Unknown,0.0,0.0,0.81,0.0,0.81,,,,,0.5933268452777344,19,7,533
Mega Man,NES,1987,Platform,Capcom,0.45,0.08,0.27,0.01,0.81,,,,,0.5933268452777344,11,4,85
Army Men: Sarge's Heroes,N64,1999,Action,3DO,0.68,0.12,0.0,0.01,0.81,,,,,0.5933268452777344,10,0,4
Pro Evolution Soccer 2010,X360,2009,Sports,Konami Digital Entertainment,0.12,0.58,0.03,0.08,0.81,78.0,34.0,7.6,29.0,0.5933268452777344,28,10,277
Tom Clancy's Rainbow Six 3,PS2,2004,Shooter,Ubisoft,0.4,0.31,0.0,0.1,0.81,70.0,34.0,8.2,17.0,0.5933268452777344,16,8,528
Madden NFL 25,XOne,2013,Sports,Electronic Arts,0.67,0.05,0.0,0.08,0.81,73.0,18.0,5.9,111.0,0.5933268452777344,30,10,139
NCAA Football 10,PS3,2009,Sports,Electronic Arts,0.75,0.0,0.0,0.06,0.81,80.0,20.0,6.9,14.0,0.5933268452777344,17,10,139
EarthBound,SNES,1994,Role-Playing,Nintendo,0.0,0.0,0.81,0.0,0.81,,,,,0.5933268452777344,23,7,361
The Next Tetris,PS,1998,Puzzle,Atari,0.45,0.31,0.0,0.05,0.81,,,,,0.5933268452777344,15,5,53
Guitar Hero: Warriors of Rock,PS3,2010,Misc,Activision,0.33,0.34,0.0,0.13,0.81,74.0,46.0,7.1,30.0,0.5933268452777344,17,3,21
Battle of Giants: Dinosaurs,DS,2008,Strategy,Ubisoft,0.37,0.35,0.0,0.09,0.81,,,7.2,9.0,0.5933268452777344,4,11,528
World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998,Sports,Konami Digital Entertainment,0.0,0.0,0.75,0.05,0.81,,,,,0.5933268452777344,15,10,277
Final Fantasy XI: Wings of the Goddess,PS2,2007,Role-Playing,Square Enix,0.35,0.27,0.09,0.09,0.81,,,,,0.5933268452777344,16,7,467
The Sims 2,PS2,2005,Simulation,Electronic Arts,0.67,0.03,0.0,0.11,0.81,75.0,31.0,4.4,166.0,0.5933268452777344,16,9,139
Dragon Ball: Raging Blast 2,PS3,2010,Fighting,Namco Bandai Games,0.42,0.18,0.11,0.09,0.81,60.0,27.0,7.5,63.0,0.5933268452777344,17,2,349
SingStar Vol. 2,PS3,2008,Misc,Sony Computer Entertainment,0.29,0.39,0.0,0.12,0.81,76.0,36.0,,,0.5933268452777344,17,3,458
Who wants to be a millionaire,PS,2000,Misc,Eidos Interactive,0.45,0.3,0.0,0.05,0.8,,,,,0.5877866649021191,15,3,138
Yakuza,PS2,2005,Action,Sega,0.03,0.02,0.74,0.01,0.8,75.0,58.0,8.2,73.0,0.5877866649021191,16,0,448
Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,2006,Action,Disney Interactive Studios,0.72,0.03,0.0,0.06,0.8,,,7.0,4.0,0.5877866649021191,4,0,127
Star Wars Rogue Squadron III: Rebel Strike,GC,2003,Simulation,LucasArts,0.62,0.16,0.0,0.02,0.8,75.0,36.0,7.6,50.0,0.5877866649021191,7,9,290
Moto Racer,PS,1997,Racing,Electronic Arts,0.45,0.3,0.0,0.05,0.8,,,,,0.5877866649021191,15,6,139
Hitman: Contracts,PS2,2004,Shooter,Eidos Interactive,0.39,0.31,0.0,0.1,0.8,80.0,39.0,8.3,43.0,0.5877866649021191,16,8,138
Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012,Puzzle,Level 5,0.2,0.26,0.3,0.04,0.8,79.0,69.0,8.5,99.0,0.5877866649021191,2,5,283
Ben 10: Alien Force,Wii,2008,Action,Koch Media,0.52,0.21,0.0,0.07,0.8,45.0,6.0,7.8,11.0,0.5877866649021191,26,0,275
Final Fantasy Anthology,PS,1999,Role-Playing,Square EA,0.45,0.3,0.0,0.05,0.8,80.0,14.0,8.1,28.0,0.5877866649021191,15,7,466
DiRT 2,X360,2009,Racing,Codemasters,0.32,0.39,0.0,0.09,0.8,87.0,65.0,8.2,110.0,0.5877866649021191,28,6,91
Prince of Persia: Warrior Within,XB,2004,Action,Ubisoft,0.48,0.28,0.0,0.04,0.8,83.0,55.0,7.5,35.0,0.5877866649021191,29,0,528
Deca Sports 2,Wii,2009,Sports,Hudson Soft,0.31,0.33,0.09,0.07,0.8,49.0,7.0,,,0.5877866649021191,26,10,227
Killzone: Mercenary,PSV,2013,Shooter,Sony Computer Entertainment Europe,0.2,0.39,0.04,0.17,0.8,78.0,86.0,8.9,513.0,0.5877866649021191,20,8,460
Pro Evolution Soccer 2010,PSP,2009,Sports,Konami Digital Entertainment,0.09,0.33,0.2,0.18,0.8,72.0,9.0,4.6,5.0,0.5877866649021191,19,10,277
Guitar Hero: Metallica,X360,2009,Misc,Activision,0.52,0.2,0.0,0.07,0.8,84.0,62.0,8.1,79.0,0.5877866649021191,28,3,21
Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,Square Enix,0.16,0.24,0.28,0.12,0.8,86.0,14.0,8.5,223.0,0.5877866649021191,20,7,467
Super Robot Taisen α,PS,2000,Strategy,Banpresto,0.0,0.0,0.75,0.05,0.8,,,,,0.5877866649021191,15,11,63
Need for Speed: Hot Pursuit 2,GC,2002,Racing,Electronic Arts,0.68,0.09,0.0,0.02,0.8,68.0,16.0,8.3,15.0,0.5877866649021191,7,6,139
PES 2009: Pro Evolution Soccer,PSP,2007,Sports,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8,,,,,0.5877866649021191,19,10,277
Hasbro Family Game Night 3,Wii,2010,Misc,Electronic Arts,0.46,0.27,0.0,0.07,0.8,,,,,0.5877866649021191,26,3,139
Tales of Destiny 2,PS2,2002,Role-Playing,Namco Bandai Games,0.0,0.0,0.8,0.0,0.8,,,,,0.5877866649021191,16,7,349
Capcom's Soccer Shootout,SNES,1993,Sports,Nintendo,0.0,0.0,0.8,0.0,0.8,,,,,0.5877866649021191,23,10,361
Rayman Raving Rabbids 2,DS,2007,Misc,Ubisoft,0.73,0.01,0.0,0.06,0.8,57.0,8.0,7.0,15.0,0.5877866649021191,4,3,528
The Sims 2: Pets,PSP,2006,Simulation,Electronic Arts,0.19,0.38,0.0,0.22,0.79,57.0,9.0,7.3,10.0,0.5822156198526637,19,9,139
Alien,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0.0,0.01,0.79,,,,,0.5822156198526637,0,0,2
Dragon Ball Z: Budokai Tenkaichi 2,PS2,2006,Fighting,Atari,0.66,0.02,0.0,0.11,0.79,73.0,31.0,8.6,61.0,0.5822156198526637,16,2,53
Guitar Hero: Aerosmith,PS2,2008,Misc,Activision,0.61,0.0,0.0,0.18,0.79,71.0,11.0,6.3,15.0,0.5822156198526637,16,3,21
Star Wars The Clone Wars: Republic Heroes,Wii,2009,Action,LucasArts,0.43,0.29,0.0,0.07,0.79,48.0,10.0,6.4,5.0,0.5822156198526637,26,0,290
Ridge Racer,PS,1994,Racing,Sony Computer Entertainment,0.0,0.0,0.74,0.05,0.79,,,,,0.5822156198526637,15,6,458
pro evolution soccer 2011,PSP,2010,Sports,Konami Digital Entertainment,0.05,0.3,0.29,0.16,0.79,74.0,10.0,5.8,5.0,0.5822156198526637,19,10,277
Harvest Moon: A Wonderful Life,GC,2003,Role-Playing,Ubisoft,0.61,0.16,0.0,0.02,0.79,79.0,28.0,8.9,148.0,0.5822156198526637,7,7,528
All Star Cheer Squad,Wii,2008,Sports,THQ,0.43,0.29,0.0,0.08,0.79,,,5.2,10.0,0.5822156198526637,26,10,491
Momotarou Dentetsu 7,PS,1997,Simulation,Hudson Entertainment,0.0,0.0,0.74,0.05,0.79,,,,,0.5822156198526637,15,9,226
DmC: Devil May Cry,PS3,2013,Action,Capcom,0.24,0.26,0.19,0.1,0.79,85.0,40.0,5.3,1471.0,0.5822156198526637,17,0,85
Motocross Mania,PS,2001,Racing,Take-Two Interactive,0.44,0.3,0.0,0.05,0.79,34.0,6.0,5.3,6.0,0.5822156198526637,15,6,497
EA Sports Active NFL Training Camp,Wii,2010,Sports,Electronic Arts,0.75,0.0,0.0,0.05,0.79,,,,,0.5822156198526637,26,10,139
Darksiders II,X360,2012,Action,THQ,0.45,0.27,0.0,0.07,0.79,83.0,63.0,8.0,456.0,0.5822156198526637,28,0,491
Need for Speed Rivals,X360,2013,Racing,Electronic Arts,0.37,0.35,0.01,0.07,0.79,76.0,12.0,5.4,107.0,0.5822156198526637,28,6,139
[Prototype 2],X360,2012,Action,Activision,0.48,0.24,0.0,0.07,0.79,74.0,69.0,7.0,173.0,0.5822156198526637,28,0,21
Mega Man 5,NES,1992,Platform,Capcom,0.39,0.07,0.32,0.01,0.79,,,,,0.5822156198526637,11,4,85
WCW Mayhem,N64,1999,Fighting,Electronic Arts,0.63,0.15,0.0,0.01,0.79,,,,,0.5822156198526637,10,2,139
Dance Dance Revolution SuperNOVA 2,PS2,2007,Simulation,Konami Digital Entertainment,0.64,0.03,0.02,0.1,0.79,70.0,10.0,,,0.5822156198526637,16,9,277
Armored Core 2,PS2,2000,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79,78.0,23.0,8.4,19.0,0.5822156198526637,16,9,528
Dragon Quest Monsters 2,3DS,2014,Role-Playing,Square Enix,0.0,0.0,0.79,0.0,0.79,,,,,0.5822156198526637,2,7,467
The Godfather II,X360,2009,Action,Electronic Arts,0.47,0.23,0.01,0.08,0.79,65.0,72.0,6.9,60.0,0.5822156198526637,28,0,139
Dragon's Dogma,X360,2012,Role-Playing,Capcom,0.42,0.23,0.07,0.06,0.79,75.0,59.0,7.8,320.0,0.5822156198526637,28,7,85
Pro Evolution Soccer 2016,PS4,2015,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.79,87.0,54.0,7.1,680.0,0.5822156198526637,18,10,277
The Amazing Spider-Man (Console Version),PS3,2012,Action,Activision,0.31,0.35,0.0,0.13,0.79,,,,,0.5822156198526637,17,0,21
Major League Baseball Featuring Ken Griffey Jr,N64,1998,Sports,Nintendo,0.75,0.03,0.0,0.01,0.79,,,,,0.5822156198526637,10,10,361
Rare Replay,XOne,2015,Misc,Microsoft Game Studios,0.49,0.22,0.01,0.07,0.79,84.0,75.0,7.7,325.0,0.5822156198526637,30,3,325
Band Hero,X360,2009,Misc,Activision,0.51,0.21,0.0,0.07,0.79,76.0,52.0,5.0,30.0,0.5822156198526637,28,3,21
NCAA Football 08,PS2,2007,Sports,Electronic Arts,0.65,0.03,0.0,0.11,0.79,83.0,6.0,8.3,23.0,0.5822156198526637,16,10,139
FIFA Soccer 2004,XB,2003,Sports,Electronic Arts,0.24,0.49,0.0,0.05,0.79,82.0,20.0,8.2,23.0,0.5822156198526637,29,10,139
The Sims 2: Castaway,PSP,2007,Simulation,Electronic Arts,0.08,0.46,0.0,0.25,0.79,64.0,5.0,7.3,18.0,0.5822156198526637,19,9,139
Star Ocean: The Last Hope,X360,2009,Role-Playing,Square Enix,0.32,0.2,0.21,0.06,0.79,72.0,56.0,7.2,150.0,0.5822156198526637,28,7,467
Sniper: Ghost Warrior,PS3,2011,Shooter,City Interactive,0.27,0.34,0.04,0.13,0.79,53.0,17.0,6.0,34.0,0.5822156198526637,17,8,88
Invizimals,PSP,2009,Strategy,Sony Computer Entertainment,0.17,0.5,0.0,0.11,0.79,69.0,32.0,7.3,19.0,0.5822156198526637,19,11,458
Forza Horizon 2,X360,2014,Racing,Microsoft Game Studios,0.35,0.37,0.0,0.06,0.78,,,5.1,116.0,0.5766133643039938,28,6,325
The 7th Guest,PC,1992,Adventure,Virgin Interactive,0.02,0.77,0.0,0.0,0.78,,,,,0.5766133643039938,13,1,545
WWE 2K15,PS3,2014,Sports,Take-Two Interactive,0.36,0.29,0.0,0.13,0.78,55.0,5.0,3.1,57.0,0.5766133643039938,17,10,497
Too Human,X360,2008,Role-Playing,Microsoft Game Studios,0.38,0.29,0.03,0.08,0.78,65.0,80.0,7.0,458.0,0.5766133643039938,28,7,325
